ASX Listed Companies (1 June 2018),,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap
1PG,1-Page Limited,Information Technology,"24,988,000",0.001,,"2,064,260,493,145"
1ST,1ST Group Limited,Health Care,"7,034,070",0.000,,
3PL,3P Learning Limited,Consumer Discretionary,"188,662,000",0.009,,
4DS,4DS Memory Limited,Information Technology,"50,053,400",0.002,,
5GN,5G Networks Limited,Telecommunication Services,"14,697,300",0.001,,
88E,88 Energy Limited,Energy,"233,435,000",0.011,,
8CO,8COMMON Limited,Information Technology,"6,507,660",0.000,,
8IH,8I Holdings Limited Chess Depositary Interests 1:1,Financials,"45,247,300",0.002,,
8EC,8IP Emerg Co Limited,,"36,711,200",0.002,,
9SP,9 Spokes Int Limited,Information Technology,"12,497,600",0.001,,
ACB,A-Cap Resources,Energy,"52,313,100",0.003,,
ABP,Abacus Property Group Units/ Stapled Securities,Real Estate,"2,224,750,000",0.108,,
ABL,Abilene Oil & Gas,Energy,"2,783,300",0.000,,
AEG,Absolute Equity Perf,,"110,917,000",0.005,,
ABT,Abundant Produce Limited,Consumer Staples,"17,295,900",0.001,,
ACS,Accent Resources NL,Materials,"2,353,000",0.000,,
ACQ,Acorn Cap INV Fund,,"58,773,200",0.003,,
ACF,Acrow Formwork,Industrials,"47,382,400",0.002,,
ACR,ACRUX Limited,Health Care,"26,643,500",0.001,,
ACW,Actinogen Medical,Health Care,"46,075,500",0.002,,
AIV,Activex Limited,Materials,"26,584,300",0.001,,
ADA,Adacel Technologies,Information Technology,"134,165,000",0.006,,
ADH,Adairs Limited,Consumer Discretionary,"358,290,000",0.017,,
1AD,Adalta Limited,Health Care,"27,023,600",0.001,,
ADD,Adavale Resource Limited,Energy,"965,316",0.000,,
AAU,Adcorp Australia,Consumer Discretionary,"1,820,300",0.000,,
ABC,Adelaide Brighton,Materials,"4,261,500,000",0.206,,
ADR,Adherium Limited,Health Care,"21,784,200",0.001,,
AHZ,Admedus Limited,Health Care,"81,738,700",0.004,,
ADY,Admiralty Resources,Materials,"15,003,500",0.001,,
ADT,Adriatic Metals Chess Depositary Interests 1:1,Materials,"14,871,500",0.001,,
ADJ,Adslot Limited,Information Technology,"34,776,200",0.002,,
ABV,ADV Braking Tech Limited,Consumer Discretionary,"8,896,480",0.000,,
ADX,ADX Energy Limited,Energy,"12,308,600",0.001,,
AER,Aeeris Limited,Information Technology,"3,172,900",0.000,,
AEI,Aeris Environmental,Industrials,"26,036,200",0.001,,
AIS,Aeris Resources Limited,Materials,"36,430,200",0.002,,
AFR,African Energy Res Chess Depositary Interests 1:1,Energy,"15,667,200",0.001,,
AFT,AFT Corporation,Industrials,"9,020,530",0.000,,
AFP,Aft Pharmaceuticals Foreign Exempt NZX,Health Care,"194,616,000",0.009,,
AGL,AGL Energy Limited,Utilities,"14,493,700,000",0.702,,
AGJ,Agricultural Land Ordinary Units FP,Real Estate,"4,290,440",0.000,,
AGR,Aguia Res Limited,Materials,"23,667,100",0.001,,
AHL,Ahalife Holdings Limited,Information Technology,"11,430,100",0.001,,
A1C,Aic Resources,Materials,"10,735,000",0.001,,
AGI,Ainsworth Game Tech,Consumer Discretionary,"385,715,000",0.019,,
AIZ,Air New Zealand Foreign Exempt NZX,Industrials,"3,245,020,000",0.157,,
ACL,Alchemia Limited,Health Care,"3,896,680",0.000,,
AEB,Algae.Tec Limited,Energy,"23,381,100",0.001,,
AHQ,Allegiance Coal Limited,Materials,"23,259,800",0.001,,
AGS,Alliance Resources,Materials,"9,073,570",0.000,,
AGE,Alligator Energy,Energy,"4,586,480",0.000,,
AIQ,Alternative Invest Ordinary Units FP,,"7,999,410",0.000,,
1AG,Alterra Limited,Industrials,"6,462,000",0.000,,
ABR,American Pacific,Materials,"36,666,300",0.002,,
AHR,Anchor Resources,Materials,"840,565",0.000,,
ADN,Andromeda Metals Limited,Materials,"6,272,200",0.000,,
AAR,Anglo Australian,Materials,"26,767,600",0.001,,
AGG,Anglogold Ashanti Cdi 5:1 Foreign Exempt Jse,Materials,"201,610,000",0.010,,
AB1,Animoca Brands Corp,Information Technology,"21,485,000",0.001,,
ADO,Anteo Diagnostics,Health Care,"13,833,100",0.001,,
AHX,Apiam Animal Health,Health Care,"75,053,200",0.004,,
AD1,Applydirect Limited,Information Technology,"8,961,230",0.000,,
AAD,Ardent Leisure Group Ordinary/Units FP Stapled Securities,Consumer Discretionary,"942,689,000",0.046,,
ADV,Ardiden Limited,Materials,"25,035,700",0.001,,
AGY,Argosy Minerals Limited,Materials,"275,549,000",0.013,,
AHK,Ark Mines Limited,Materials,"3,340,810",0.000,,
AAJ,Aruma Resources Limited,Materials,"8,237,120",0.000,,
AHY,Asaleo Care Limited,Consumer Staples,"719,637,000",0.035,,
AFA,Asf Group Limited,Financials,"108,390,000",0.005,,
AIR,Astivita Limited,Industrials,"3,499,410",0.000,,
ACG,Atcor Medical,Health Care,"9,030,660",0.000,,
AHN,Athena Resources,Materials,"7,153,110",0.000,,
AGO,Atlas Iron Limited,Materials,"287,668,000",0.014,,
